,Unnamed: 0,cpd_str_alert_id,molecule_chembl_id,alert.alert_id,alert.alert_name,alert.alert_set.priority,alert.alert_set.set_name,alert.smarts
17093,93,49321715,CHEMBL2270571,6,R6 Acid anhydrides,8,Glaxo,C(=O)OC(=O)
15607,607,49320229,CHEMBL195691,5,R5 Sulphonates,8,Glaxo,"COS(=O)(=O)[C,c]"
3882,882,49308504,CHEMBL231668,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
19050,50,49323672,CHEMBL457914,7,R7 Peroxides,8,Glaxo,OO
8562,562,49313184,CHEMBL1982568,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
19528,528,49324150,CHEMBL1213426,7,R7 Peroxides,8,Glaxo,OO
9194,194,49313816,CHEMBL2043337,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
1207,207,49305829,CHEMBL308030,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
15903,903,49320525,CHEMBL1783336,5,R5 Sulphonates,8,Glaxo,"COS(=O)(=O)[C,c]"
11969,969,49316591,CHEMBL3352949,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
6264,264,49310886,CHEMBL1288332,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
8407,407,49313029,CHEMBL1974245,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
762,762,49305384,CHEMBL40372,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
17807,807,49322429,CHEMBL88862,7,R7 Peroxides,8,Glaxo,OO
6363,363,49310985,CHEMBL1324439,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
10120,120,49314742,CHEMBL2287202,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
1697,697,49306319,CHEMBL321766,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
3109,109,49307731,CHEMBL168659,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
8239,239,49312861,CHEMBL1966278,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
8524,524,49313146,CHEMBL1980726,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
306,306,49304928,CHEMBL417462,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
10111,111,49314733,CHEMBL2286334,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
3696,696,49308318,CHEMBL227734,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
8789,789,49313411,CHEMBL1994759,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
15099,99,49319721,CHEMBL4205857,2,R2 Acid halides,8,Glaxo,"[S,C](=[O,S])[F,Br,Cl,I]"
11016,16,49315638,CHEMBL3143531,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
2522,522,49307144,CHEMBL422663,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
11825,825,49316447,CHEMBL3305438,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
7557,557,49312179,CHEMBL1765498,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
9322,322,49313944,CHEMBL2106341,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
18769,769,49323391,CHEMBL465322,7,R7 Peroxides,8,Glaxo,OO
17713,713,49322335,CHEMBL310963,7,R7 Peroxides,8,Glaxo,OO
18832,832,49323454,CHEMBL450287,7,R7 Peroxides,8,Glaxo,OO
14658,658,49319280,CHEMBL4651114,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
3130,130,49307752,CHEMBL168234,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
5316,316,49309938,CHEMBL599689,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
10674,674,49315296,CHEMBL2402304,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
16195,195,49320817,CHEMBL2112807,5,R5 Sulphonates,8,Glaxo,"COS(=O)(=O)[C,c]"
9571,571,49314193,CHEMBL2219607,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
10290,290,49314912,CHEMBL2297601,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
